City,Country,Max Temp,Humidity,Clouds,Wind Speed,Lat,Lng
tuktoyaktuk,CA,5.0,84,75,5.82,69.44,-133.03
punta arenas,CL,48.2,61,0,21.92,-53.16,-70.91
montepuez,MZ,72.92,94,92,3.87,-13.13,39
havelock,US,55.4,71,1,3.36,34.88,-76.9
jega,NG,69.77,32,0,6.26,12.22,4.38
bethel,US,39.2,96,90,20.8,60.79,-161.76
bobcaygeon,CA,14.0,51,75,11.41,44.54,-78.55
yellowknife,CA,17.6,78,75,8.05,62.45,-114.38
kapaa,US,78.8,57,40,21.92,22.08,-159.32
nchelenge,ZM,69.59,90,64,3.09,-9.35,28.74
vaini,IN,59.0,67,0,1.3,15.34,74.49
hermanus,ZA,59.0,75,56,1.01,-34.42,19.24
bluff,AU,82.1,42,0,11.25,-23.58,149.07
buariki,,,,,,,
hambantota,LK,75.2,100,75,3.36,6.12,81.12
mirnyy,RU,23.06,87,76,14.27,56.57,36.46
atar,MR,62.93,19,0,12.86,20.52,-13.05
carnarvon,ZA,55.82,53,0,7.72,-30.97,22.13
hobart,AU,62.6,42,20,5.82,-42.88,147.33
tasiilaq,GL,30.2,92,92,3.36,65.61,-37.64
tabialan,,,,,,,
moose factory,CA,-7.61,69,1,2.24,51.26,-80.61
butaritari,KI,81.69,100,88,16.62,3.07,172.79
taolanaro,,,,,,,
ushuaia,AR,44.6,70,40,36.91,-54.81,-68.31
port blair,IN,80.6,83,20,5.82,11.67,92.75
avarua,CK,82.4,69,0,16.11,-21.21,-159.78
bilibino,RU,-5.57,77,36,3.24,68.06,166.44
barentsburg,,,,,,,
fare,PF,84.84,98,8,6.49,-16.7,-151.02
kieta,PG,83.63,94,0,2.68,-6.22,155.63
saskylakh,RU,-28.29,43,0,6.33,71.97,114.09
illoqqortoormiut,,,,,,,
warqla,,,,,,,
haines junction,CA,17.48,87,0,0.56,60.75,-137.51
rikitea,PF,80.48,99,88,10.36,-23.12,-134.97
chuy,UY,60.5,80,0,10.85,-33.69,-53.46
onega,RU,11.63,75,12,8.12,63.91,38.09
upernavik,GL,0.56,100,44,16.33,72.79,-56.15
hofn,IS,42.32,92,88,24.34,64.25,-15.21
mys shmidta,,,,,,,
iqaluit,CA,-2.01,77,90,4.7,63.75,-68.52
tabou,CI,83.72,94,0,11.81,4.42,-7.36
narsaq,GL,35.6,22,0,19.46,60.91,-46.05
leningradskiy,RU,14.28,83,0,20.92,69.38,178.42
port lincoln,AU,73.28,83,0,6.49,-34.72,135.86
airai,TL,75.89,82,0,1.86,-8.93,125.41
tezu,IN,47.13,97,76,1.74,27.93,96.16
arawa,NG,72.56,96,64,2.08,7.05,3.9
mataura,NZ,50.0,89,48,11.01,-46.19,168.86
bredasdorp,ZA,51.8,81,68,6.93,-34.53,20.04
thompson,CA,8.6,60,90,8.05,55.74,-97.86
hilo,US,77.0,57,75,9.17,19.71,-155.08
ribeira grande,PT,60.68,98,92,29.97,38.52,-28.7
rorvik,NO,45.0,85,92,5.99,64.86,11.24
barbar,,,,,,,
east london,ZA,70.13,100,88,23.82,-33.02,27.91
castro,CL,57.53,74,0,7.83,-42.48,-73.76
liverpool,GB,46.99,70,0,2.24,53.41,-2.98
nicoya,CR,82.4,58,0,20.8,10.15,-85.45
ulladulla,AU,73.99,60,75,11.41,-35.36,150.48
pisco,PE,75.2,73,75,19.46,-13.71,-76.2
marcona,,,,,,,
lucera,IT,41.0,52,5,6.93,41.51,15.34
busselton,AU,79.0,36,36,16.96,-33.64,115.35
anadyr,RU,26.6,86,20,33.55,64.73,177.51
sao filipe,CV,73.46,85,0,14.83,14.9,-24.5
yavaros,MX,77.0,62,56,1.99,26.7,-109.52
sibu,MY,78.8,88,75,4.7,2.29,111.83
agva,,,,,,,
san policarpo,PH,76.74,92,80,10.02,12.18,125.51
inderborskiy,,,,,,,
victoria,BN,82.4,78,75,9.17,5.28,115.24
cape town,ZA,61.0,82,0,2.24,-33.93,18.42
jamestown,AU,77.01,70,0,7.23,-33.21,138.6
faridpur,IN,55.23,96,92,16.44,28.21,79.54
santiago de chuco,PE,50.78,84,64,1.86,-8.15,-78.17
kalmar,SE,39.99,90,8,6.93,56.66,16.36
mahebourg,MU,80.6,83,40,12.75,-20.41,57.7
georgetown,GY,80.6,78,40,16.11,6.8,-58.16
penha,BR,73.99,78,90,6.93,-26.78,-48.65
natal,BR,82.4,83,20,4.7,-5.81,-35.21
muros,ES,59.0,58,0,6.93,42.77,-9.06
ahipara,NZ,72.06,65,0,8.23,-35.17,173.16
pevek,RU,-5.03,79,20,0.96,69.7,170.27
itarema,BR,77.69,94,48,5.7,-2.92,-39.92
luderitz,NA,64.86,74,0,18.07,-26.65,15.16
namibe,AO,76.52,100,56,6.55,-15.19,12.15
bengkulu,,,,,,,
xiaoweizhai,CN,42.59,100,92,3.87,26.23,107.51
sault sainte marie,CA,8.6,65,1,4.7,46.49,-84.36
saint-georges,CA,-0.01,70,36,11.99,46.12,-70.67
nikolskoye,RU,24.8,85,20,2.24,59.7,30.79
stoenesti,RO,39.0,26,0,5.77,45.25,25.17
mercedes,UY,56.0,76,0,3.47,-33.25,-58.03
qaanaaq,GL,-13.62,81,20,6.22,77.48,-69.36
elizabeth city,US,51.01,66,1,6.6,36.3,-76.22
salalah,OM,73.4,78,0,2.24,17.01,54.1
half moon bay,US,57.2,71,90,19.46,37.46,-122.43
teixeira,BR,67.88,95,48,3.47,-7.22,-37.25
gazli,UZ,33.41,78,68,7.34,40.13,63.45
esmeralda,CL,64.1,65,0,1.3,-34.33,-70.9
mar del plata,AR,67.43,37,0,18.57,-46.43,-67.52
saint-philippe,CA,7.0,60,1,13.42,45.36,-73.48
bathurst,AU,81.0,41,24,1.99,-33.42,149.58
tarabuco,BO,52.67,99,92,2.35,-19.18,-64.92
pandan,PH,77.64,100,0,19.64,11.72,122.09
arraial do cabo,BR,80.16,94,24,0.56,-22.97,-42.02
shchigry,RU,33.01,87,80,10,51.87,36.91
biloxi,US,66.2,88,90,4.54,30.4,-88.89
oktyabrskoye,RU,26.6,86,75,13.42,56.73,85.44
noumea,NC,82.4,58,20,24.16,-22.28,166.46
louis trichardt,ZA,66.89,87,44,1.45,-23.04,29.91
khatanga,RU,-0.8,65,88,5.59,71.98,102.47
kindu,CD,74.18,88,20,3.02,-2.95,25.92
ossora,RU,2.49,100,68,5.55,59.24,163.07
kurdzhinovo,RU,17.21,87,36,1.74,43.99,40.96
caravelas,BR,83.99,100,8,18.34,-17.73,-39.27
buin,CL,71.6,33,0,5.82,-33.73,-70.74
guadalupe y calvo,MX,65.31,18,8,2.86,26.09,-106.96
kalabo,ZM,74.49,48,20,7.78,-15,22.67
dodge city,US,19.4,67,1,4.7,37.75,-100.02
palana,RU,1.28,67,64,5.32,59.08,159.95
amderma,,,,,,,
voyvozh,RU,4.16,69,12,9.8,62.89,54.96
cidreira,BR,66.98,91,80,1.45,-30.17,-50.22
coihaique,CL,55.4,66,0,1.12,-45.58,-72.07
vaitupu,,,,,,,
ancud,CL,59.06,68,0,6.89,-41.87,-73.83
kachug,RU,-0.98,61,12,2.53,53.96,105.89
new norfolk,AU,63.0,42,20,5.82,-42.78,147.06
taoudenni,ML,51.41,32,0,11.03,22.68,-3.98
izhma,RU,-4.62,66,0,2.24,65.01,53.91
la tuque,CA,-3.09,48,32,12.15,47.44,-72.79
nanhai,CN,40.52,97,100,7.9,30.13,111.78
kulevcha,UA,33.95,92,48,14.05,46.03,29.93
jaru,BR,77.73,81,24,2.24,-10.43,-62.48
dagana,MR,67.38,20,32,11.3,16.52,-15.51
iralaya,HN,78.68,82,76,10.13,15,-83.23
antsla,EE,27.0,92,20,6.93,57.83,26.53
constitucion,MX,77.0,9,5,11.41,23.99,-104.67
port alfred,ZA,64.99,70,12,7,-33.59,26.89
ruatoria,,,,,,,
karratha,AU,81.74,78,0,4.81,-20.74,116.85
mugumu,TZ,55.64,82,8,6.38,-1.84,34.67
walvis bay,NA,66.99,87,0,10.25,-22.95,14.51
mingrelskaya,RU,32.0,96,90,3.02,45.01,38.34
grand-santi,GF,77.73,76,92,4.36,4.27,-54.38
baruun-urt,MN,10.59,76,0,6.89,46.68,113.28
adre,TD,78.63,39,88,8.05,13.47,22.2
mushie,CD,74.36,96,68,2.46,-3.02,16.92
saint-pierre,FR,44.6,70,0,6.93,48.95,4.24
tiksi,RU,-16.28,46,0,3.76,71.64,128.87
altamont,CA,3.2,77,76,5.82,49.4,-98.5
tsihombe,,,,,,,
gobabis,NA,75.39,25,48,8.01,-22.45,18.97
segezha,RU,13.79,79,32,6.49,63.74,34.31
xocali,AZ,27.74,77,44,2.53,39.91,46.79
puerto ayora,EC,84.2,74,20,9.17,-0.74,-90.35
giaveno,IT,51.01,39,0,4.7,45.04,7.35
belushya guba,,,,,,,
chara,GR,50.0,39,75,9.17,39.42,22.43
japura,ID,72.33,98,92,2.57,-0.42,102.29
kudahuvadhoo,MV,80.48,100,92,9.06,2.67,72.89
port elizabeth,US,39.99,44,90,5.82,39.31,-74.98
kanniyakumari,IN,81.74,100,24,14.09,8.08,77.57
marsh harbour,BS,71.16,100,92,25.39,26.54,-77.06
zhezkazgan,KZ,19.55,89,88,7.23,47.8,67.71
tsaratanana,MG,72.38,85,0,4.47,-16.8,47.65
kirakira,SB,83.13,98,0,14.65,-10.46,161.92
castle rock,US,41.0,32,1,14.99,46.27,-122.91
amuntai,ID,78.68,88,12,2.98,-2.42,115.25
khromtau,KZ,13.43,77,76,4.7,50.26,58.44
kazalinsk,,,,,,,
matagami,NG,67.83,92,56,2.57,9.67,8.4
kodiak,US,33.01,79,90,9.17,39.95,-94.76
paamiut,GL,27.29,98,0,8.28,61.99,-49.67
saint george,GR,50.0,39,75,9.17,39.45,22.34
sapouy,BF,64.86,29,0,4.88,11.55,-1.77
ponta delgada,PT,57.2,71,40,14.99,37.73,-25.67
moree,AU,78.8,44,24,10.29,-29.46,149.84
albany,US,19.99,72,1,3.36,42.65,-73.75
prainha,BR,73.86,100,92,2.24,-1.8,-53.48
chokurdakh,RU,-23.34,34,64,7.72,70.62,147.9
burnie,AU,64.0,69,80,11.99,-41.05,145.91
sitka,US,34.71,64,8,6.38,37.17,-99.65
churapcha,RU,-13.26,59,56,2.68,62,132.43
halalo,,,,,,,
saldanha,PT,37.46,78,0,4.59,41.42,-6.55
balkanabat,TM,27.74,75,0,2.19,39.51,54.36
mantua,IT,53.01,65,0,2.24,45.16,10.79
carovigno,IT,55.4,66,0,11.41,40.71,17.66
lompoc,US,59.0,67,40,6.93,34.64,-120.46
broken hill,AU,89.6,17,0,8.05,-31.97,141.45
tubruq,,,,,,,
norman wells,CA,24.8,62,40,11.41,65.28,-126.83
acapulco,MX,82.4,74,5,4.7,16.86,-99.88
semporna,MY,80.6,74,75,3.36,4.48,118.61
lasa,CY,60.8,77,90,24.16,34.92,32.53
aswan,EG,66.2,19,0,11.41,24.09,32.9
ponta do sol,BR,70.94,91,48,2.53,-20.63,-46
qaqortoq,GL,35.6,22,0,19.46,60.72,-46.03
gat,SN,73.4,31,12,11.41,14.69,-16.54
kamenka,RU,26.93,91,80,5.77,53.19,44.05
teguise,ES,64.4,77,0,13.87,29.06,-13.56
maniitsoq,GL,12.66,70,0,4.32,65.42,-52.9
bo rai,TH,75.2,94,40,1.12,12.57,102.54
kenai,US,30.0,53,1,4.7,60.55,-151.26
port-gentil,GA,79.49,100,76,9.57,-0.72,8.78
los llanos de aridane,ES,62.6,72,24,8.05,28.66,-17.92
sungaipenuh,ID,64.73,99,100,0.56,-2.08,101.38
kruisfontein,ZA,60.86,79,0,16.11,-34,24.73
wanning,AT,42.01,80,0,4.7,48.64,13.53
parrsboro,CA,10.4,51,75,28.86,45.41,-64.33
fortuna,ES,50.0,56,0,2.24,38.18,-1.13
nizhneyansk,,,,,,,
barrow,AR,51.18,73,8,2.86,-38.31,-60.23
hay river,CA,21.2,73,75,4.7,60.82,-115.79
karaul,,,,,,,
tonder,DK,39.2,86,5,4.7,54.93,8.87
pacific grove,US,60.8,55,75,10.29,36.62,-121.92
karjat,IN,73.4,73,0,3.36,18.91,73.32
pemangkat,,,,,,,
attawapiskat,,,,,,,
vastervik,,,,,,,
ilulissat,GL,-0.41,77,0,4.7,69.22,-51.1
dikson,RU,-5.79,82,36,28.41,73.51,80.55
atambua,ID,81.2,100,0,4.99,-9.11,124.89
sola,NO,41.0,93,36,3.36,58.89,5.65
longyan,CN,53.3,93,68,2.46,25.1,117.03
gravdal,NO,42.8,100,90,8.05,59.79,5.78
san patricio,PY,70.44,70,0,6.71,-26.98,-56.83
maceio,BR,78.8,88,0,3.36,-9.67,-35.74
karaton,ID,84.2,79,20,3.36,-6.34,106.1
chikoy,,,,,,,
valparaiso,US,26.6,62,40,12.75,41.47,-87.06
yakeshi,CN,11.45,70,0,8.5,49.28,120.73
port said,EG,56.76,32,48,6.38,25.34,30.55
trinidad,UY,51.09,77,0,2.68,-33.52,-56.9
